TruM,Res,Lin,Ang
4.5,23.66988,5.114681,1.637228
13.5,24.017096,1.188316,1.4098101
22.5,23.890097,0.45451474,1.1831383
31.5,24.36449,0.19635348,0.9773397
40.5,24.845089,0.08275139,0.80168766
49.5,25.111362,0.028995609,0.6596745
58.5,25.68256,0.005158205,0.5524732
67.5,26.039633,-0.00404189,0.46802282
76.5,26.384174,-0.008815306,0.40559998
85.5,26.7451,-0.0051427935,0.35756144
94.5,26.799055,-0.00777908,0.31560525
103.5,26.592182,-0.0051330696,0.28366745
112.5,26.908964,-0.0053430917,0.2621464
121.5,26.930794,-0.0051580463,0.23440763
130.5,26.74378,-0.005323548,0.2126069
139.5,27.335806,-0.004386854,0.20509404
148.5,27.488441,-0.0026482935,0.188633
157.5,27.866306,-0.002631806,0.1810857
166.5,27.696552,-0.005937205,0.17206872
175.5,28.171154,-0.0048751202,0.15982966
184.5,28.451347,-0.005971149,0.15153272
193.5,28.728554,-0.0030342124,0.1460308
202.5,28.290266,-0.0062375427,0.13512705
211.5,28.298632,-0.0051170764,0.1250947
220.5,28.705769,-0.0031854752,0.120031565
229.5,29.263655,-0.00563488,0.11573359
238.5,29.802752,-0.0054494664,0.11658815
247.5,29.68745,-0.0071350792,0.11002561
256.5,30.0048,-0.00468597,0.10128602
265.5,30.778305,-0.0060867085,0.11647137
274.5,31.877443,-0.0038975615,0.107652046
283.5,30.594227,-0.00023148084,0.0894599
292.5,33.010082,-0.0043434617,0.10360579
301.5,32.193954,-0.006541383,0.09048147
310.5,32.648262,-0.007856401,0.10287157
319.5,32.340088,-0.004003997,0.08534035
328.5,34.46916,-0.0046445057,0.116659954
337.5,33.164455,-0.0047884667,0.0857879
346.5,33.19175,-0.000758436,0.09310496
355.5,33.165165,-0.0017789464,0.074766435
364.5,34.509518,-0.002665168,0.08290777
373.5,33.695175,-0.005278683,0.0725909
382.5,35.57874,-0.0048591117,0.07674007
391.5,35.708168,-0.012397154,0.074103795
400.5,36.252644,-0.00706497,0.088790305
409.5,35.574142,-0.0039237873,0.085126065
418.5,36.099297,-0.01308012,0.08173281
427.5,36.072887,-0.008474789,0.0658727
436.5,35.583153,-0.0053462693,0.06152381
445.5,34.739147,-0.008470724,0.058411375
