bins,nonhad,allhad with weights
0.5,41126.0,2488367.0
1.5,123688.0,2405805.0
2.5,206513.0,2322980.0
3.5,288454.0,2241039.0
4.5,372435.0,2157058.0
5.5,454146.0,2075347.0
6.5,539606.0,1989887.0
7.5,625612.0,1903881.0
8.5,708046.0,1821446.9999999998
9.5,796143.0,1733350.0
10.5,882933.0,1646560.0
11.5,967304.0,1562189.0
12.5,1052842.0,1476651.0
13.5,1138919.0,1390574.0
14.5,1221047.0,1308446.0
15.5,1304118.0,1225375.0
16.5,1385298.0,1144195.0
17.5,1463199.0,1066294.0
18.5,1538816.0,990677.0
19.5,1608476.0,921017.0
20.5,1679757.0,849736.0
21.5,1743344.0,786149.0
22.5,1807493.0,722000.0
23.5,1868641.0,660852.0
24.5,1920646.0,608847.0
25.5,1972925.0,556568.0
26.5,2020232.0,509261.0
27.5,2065196.0,464297.0
28.5,2106908.0,422585.0
29.5,2142091.0,387402.0
30.5,2177032.0,352461.0
31.5,2205710.0,323783.0
32.5,2233804.0,295689.0
33.5,2253121.0,276372.0
34.5,2273959.0,255534.0
35.5,2292367.0,237126.0
36.5,2303111.0,226382.0
37.5,2312548.0,216945.0
38.5,2322649.0,206844.0
39.5,2325779.0,203714.0
40.5,2329372.0,200121.0
41.5,2326627.0,185363.0
42.5,2323277.0,173087.0
43.5,2321206.0,160212.0
44.5,2314743.0,148820.0
45.5,2302728.0,138674.0
46.5,2294595.0,128629.0
47.5,2278623.0,120291.0
48.5,2268358.0,111095.0
49.5,2250316.0,104411.0
50.5,2233283.0,96844.0
51.5,2212657.0,90173.0
52.5,2196714.0,84111.0
53.5,2175528.0,78403.0
54.5,2150833.0,73547.0
55.5,2127015.0,68489.0
56.5,2106050.0,64261.0
57.5,2078678.0,60013.0
58.5,2055228.0,55816.0
59.5,2030557.0,52371.0
60.5,2001536.0,49219.0
61.5,1976122.0,46117.0
62.5,1951449.0,42866.0
63.5,1921268.0,40050.0
64.5,1887989.0,38270.0
65.5,1861706.0,35553.0
66.5,1834357.0,33558.0
67.5,1805232.0,31419.0
68.5,1777530.0,29337.0
69.5,1748471.0,27610.0
70.5,1717266.0,26109.0
71.5,1688571.0,24183.0
72.5,1659412.0,23094.0
73.5,1630103.0,21476.0
74.5,1599881.0,20286.0
75.5,1573220.0,19102.0
76.5,1542990.0,18268.0
77.5,1517691.0,16843.0
78.5,1485186.0,16211.0
79.5,1453874.0,14877.0
80.5,1428635.0,14160.0
81.5,1399277.0,13532.0
82.5,1372355.0,12717.0
83.5,1344539.0,11984.0
84.5,1317304.0,11438.0
85.5,1291851.0,10843.0
86.5,1264892.0,10136.0
87.5,1237834.0,9745.0
88.5,1210013.0,8999.0
89.5,1184329.0,8623.0
90.5,1161308.0,8255.0
91.5,1134002.0,7643.0
92.5,1110390.0,7214.0
93.5,1085968.0,6797.0
94.5,1061595.0,6670.0
95.5,1038950.0,6252.0
96.5,1013869.0,6000.0
97.5,991888.0,5800.0
98.5,968740.0,5362.0
99.5,947047.0,5087.0
100.5,921264.0,4925.0
101.5,902475.0,4400.0
102.5,881709.0,4341.0
103.5,859223.0,4136.0
104.5,839578.0,4117.0
105.5,819441.0,3744.0
106.5,798918.0,3627.0
107.5,781562.0,3413.0
108.5,762876.0,3195.0
109.5,744368.0,3084.0
110.5,724237.0,2975.0
111.5,706528.0,2921.0
112.5,689359.0,2670.0
113.5,671363.0,2497.0
114.5,655481.0,2428.0
115.5,638008.0,2305.0
116.5,620955.0,2272.0
117.5,606586.0,2164.0
118.5,591485.0,2060.0
119.5,575739.0,1919.0
120.5,561607.0,1862.0
121.5,547951.0,1828.0
122.5,533266.0,1679.0
123.5,520661.0,1556.0
124.5,506457.0,1575.0
125.5,493279.0,1497.0
126.5,480351.0,1476.0
127.5,466851.0,1338.0
128.5,455414.0,1286.0
129.5,442310.0,1279.0
130.5,432800.0,1224.0
131.5,420040.0,1126.0
132.5,409889.0,1121.0
133.5,399355.0,1066.0
134.5,389215.0,1044.0
135.5,378356.0,925.0
136.5,367370.0,927.0
137.5,358502.0,911.0
138.5,347852.0,859.0
139.5,338383.0,820.0
140.5,330271.0,761.0
141.5,321383.0,748.0
142.5,313420.0,741.0
143.5,305980.0,741.0
144.5,297329.0,673.0
145.5,288680.0,629.0
146.5,281582.0,637.0
147.5,274504.0,607.0
148.5,266787.0,575.0
149.5,260043.0,554.0
150.5,252952.0,503.0
151.5,246141.0,502.0
152.5,240092.0,504.0
153.5,233818.0,472.0
154.5,227722.0,430.0
155.5,221911.0,464.0
156.5,216172.0,468.0
157.5,210479.0,374.0
158.5,206006.0,404.0
159.5,199872.0,355.0
160.5,194455.0,360.0
161.5,189578.0,362.0
162.5,184927.0,310.0
163.5,180062.0,351.0
164.5,175625.0,307.0
165.5,170117.0,294.0
166.5,166308.0,292.0
167.5,162031.0,267.0
168.5,158258.0,275.0
169.5,154766.0,233.0
170.5,150582.0,235.0
171.5,146267.0,258.0
172.5,142110.0,238.0
173.5,138827.0,213.0
174.5,135965.0,202.0
175.5,132375.0,202.0
176.5,129076.0,189.0
177.5,125732.0,222.0
178.5,122099.0,204.0
179.5,119827.0,178.0
180.5,116305.0,197.0
181.5,114060.0,171.0
182.5,111466.0,165.0
183.5,108294.0,158.0
184.5,106158.0,172.0
185.5,102998.0,163.0
186.5,100543.0,146.0
187.5,98168.0,136.0
188.5,96535.0,137.0
189.5,93802.0,132.0
190.5,91189.0,114.0
191.5,89019.0,122.0
192.5,87102.0,123.0
193.5,84807.0,127.0
194.5,83068.0,106.0
195.5,80522.0,117.0
196.5,79660.0,85.0
197.5,77442.0,113.0
198.5,75157.0,95.0
199.5,73455.0,83.0
200.5,71697.0,84.0
201.5,70546.0,89.0
202.5,68820.0,101.0
203.5,66755.0,76.0
204.5,65449.0,71.0
205.5,63965.0,86.0
206.5,62090.0,87.0
207.5,61394.0,68.0
208.5,59371.0,63.0
209.5,58252.0,54.0
210.5,56827.0,50.0
211.5,55492.0,70.0
212.5,53775.0,61.0
213.5,53168.0,52.0
214.5,52094.0,60.0
215.5,50525.0,56.0
216.5,49436.0,48.0
217.5,47992.0,69.0
218.5,46873.0,58.0
219.5,45850.0,65.0
220.5,45194.0,46.0
221.5,44006.0,52.0
222.5,43140.0,46.0
223.5,41615.0,42.0
224.5,41369.0,45.0
225.5,40466.0,40.0
226.5,39619.0,48.0
227.5,38563.0,49.0
228.5,37824.0,45.0
229.5,36546.0,34.0
230.5,35953.0,31.0
231.5,35130.0,33.0
232.5,34780.0,32.0
233.5,33959.0,45.0
234.5,33104.0,34.0
235.5,32633.0,28.0
236.5,31715.0,38.0
237.5,31025.0,45.0
238.5,30099.0,33.0
239.5,29633.0,32.0
240.5,29015.0,15.0
241.5,28212.0,21.0
242.5,27787.0,22.0
243.5,27383.0,31.0
244.5,26701.0,20.0
245.5,26097.0,37.0
246.5,25795.0,21.0
247.5,25118.0,22.0
248.5,24576.0,28.0
249.5,23963.0,16.0
250.5,23645.0,24.0
251.5,23183.0,23.0
252.5,22526.0,31.0
253.5,22159.0,24.0
254.5,21485.0,20.0
255.5,21505.0,21.0
256.5,20521.0,10.0
257.5,20323.0,13.0
258.5,20018.0,17.0
259.5,19573.0,17.0
260.5,18890.0,19.0
261.5,18435.0,15.0
262.5,18420.0,21.0
263.5,17819.0,14.0
264.5,17657.0,19.0
265.5,17336.0,16.0
266.5,17032.0,21.0
267.5,16404.0,13.0
268.5,16165.0,14.0
269.5,16012.0,13.0
270.5,15376.0,12.0
271.5,15307.0,12.0
272.5,15078.0,16.0
273.5,14815.0,10.0
274.5,14370.0,8.0
275.5,14145.0,11.0
276.5,13829.0,17.0
277.5,13366.0,13.0
278.5,13069.0,7.0
279.5,13118.0,14.0
280.5,12788.0,3.0
281.5,12427.0,6.0
282.5,12351.0,11.0
283.5,12044.0,5.0
284.5,11756.0,15.0
285.5,11699.0,7.0
286.5,11382.0,5.0
287.5,11414.0,5.0
288.5,11114.0,10.0
289.5,10601.0,8.0
290.5,10592.0,6.0
291.5,10291.0,11.0
292.5,9986.0,5.0
293.5,9876.0,7.0
294.5,9772.0,6.0
295.5,9442.0,10.0
296.5,9524.0,3.0
297.5,9253.0,8.0
298.5,8960.0,9.0
299.5,8775.0,5.0
300.5,8562.0,5.0
301.5,8559.0,4.0
302.5,8494.0,3.0
303.5,8149.0,5.0
304.5,8185.0,5.0
305.5,8118.0,7.0
306.5,7711.0,5.0
307.5,7749.0,6.0
308.5,7618.0,6.0
309.5,7506.0,6.0
310.5,7146.0,6.0
311.5,7085.0,4.0
312.5,7134.0,5.0
313.5,6860.0,3.0
314.5,6656.0,4.0
315.5,6678.0,6.0
316.5,6554.0,6.0
317.5,6359.0,4.0
318.5,6318.0,8.0
319.5,6232.0,2.0
320.5,5989.0,4.0
321.5,5901.0,7.0
322.5,5923.0,3.0
323.5,5693.0,5.0
324.5,5607.0,2.0
325.5,5620.0,1.0
326.5,5570.0,3.0
327.5,5281.0,1.0
328.5,5249.0,2.0
329.5,5255.0,1.0
330.5,5037.0,2.0
331.5,5081.0,1.0
332.5,5003.0,3.0
333.5,4804.0,3.0
334.5,4697.0,2.0
335.5,4763.0,3.0
336.5,4594.0,3.0
337.5,4431.0,2.0
338.5,4496.0,3.0
339.5,4229.0,2.0
340.5,4265.0,1.0
341.5,4086.0,2.0
342.5,4136.0,1.0
343.5,4038.0,2.0
344.5,4067.0,2.0
345.5,3990.0,4.0
346.5,3856.0,1.0
347.5,3858.0,1.0
348.5,3597.0,0.0
349.5,3652.0,0.0
350.5,3615.0,4.0
351.5,3471.0,1.0
352.5,3496.0,0.0
353.5,3333.0,1.0
354.5,3338.0,2.0
355.5,3344.0,3.0
356.5,3259.0,2.0
357.5,3212.0,0.0
358.5,3234.0,0.0
359.5,3084.0,1.0
360.5,3020.0,2.0
361.5,2983.0,4.0
362.5,2965.0,1.0
363.5,2844.0,0.0
364.5,2729.0,3.0
365.5,2783.0,4.0
366.5,2744.0,0.0
367.5,2710.0,6.0
368.5,2730.0,2.0
369.5,2576.0,2.0
370.5,2597.0,1.0
371.5,2619.0,2.0
372.5,2508.0,0.0
373.5,2486.0,2.0
374.5,2397.0,3.0
375.5,2460.0,1.0
376.5,2314.0,0.0
377.5,2232.0,1.0
378.5,2236.0,1.0
379.5,2212.0,1.0
380.5,2137.0,1.0
381.5,2100.0,2.0
382.5,2018.0,1.0
383.5,2027.0,2.0
384.5,2076.0,0.0
385.5,2060.0,3.0
386.5,2014.0,1.0
387.5,1936.0,0.0
388.5,2015.0,0.0
389.5,1883.0,1.0
390.5,1930.0,1.0
391.5,1827.0,0.0
392.5,1788.0,1.0
393.5,1784.0,0.0
394.5,1800.0,1.0
395.5,1718.0,0.0
396.5,1716.0,0.0
397.5,1696.0,0.0
398.5,1605.0,1.0
399.5,1584.0,0.0
400.5,1585.0,1.0
401.5,1526.0,1.0
402.5,1615.0,0.0
403.5,1511.0,0.0
404.5,1514.0,0.0
405.5,1558.0,0.0
406.5,1495.0,0.0
407.5,1426.0,0.0
408.5,1408.0,1.0
409.5,1421.0,0.0
410.5,1295.0,1.0
411.5,1297.0,0.0
412.5,1323.0,1.0
413.5,1295.0,2.0
414.5,1197.0,1.0
415.5,1307.0,0.0
416.5,1206.0,0.0
417.5,1324.0,0.0
418.5,1275.0,1.0
419.5,1214.0,0.0
420.5,1167.0,0.0
421.5,1176.0,0.0
422.5,1166.0,1.0
423.5,1099.0,0.0
424.5,1113.0,0.0
425.5,1048.0,0.0
426.5,1003.0,0.0
427.5,1060.0,0.0
428.5,972.0,1.0
429.5,997.0,0.0
430.5,975.0,0.0
431.5,1005.0,0.0
432.5,983.0,0.0
433.5,970.0,0.0
434.5,955.0,0.0
435.5,901.0,0.0
436.5,956.0,0.0
437.5,883.0,0.0
438.5,867.0,0.0
439.5,865.0,0.0
440.5,812.0,0.0
441.5,823.0,1.0
442.5,825.0,0.0
443.5,862.0,0.0
444.5,742.0,0.0
445.5,780.0,1.0
446.5,742.0,0.0
447.5,684.0,0.0
448.5,696.0,1.0
449.5,672.0,0.0
450.5,698.0,0.0
451.5,717.0,0.0
452.5,681.0,0.0
453.5,651.0,0.0
454.5,667.0,0.0
455.5,592.0,0.0
456.5,628.0,1.0
457.5,640.0,1.0
458.5,646.0,1.0
459.5,614.0,0.0
460.5,566.0,0.0
461.5,570.0,0.0
462.5,568.0,0.0
463.5,521.0,2.0
464.5,529.0,0.0
465.5,488.0,0.0
466.5,502.0,2.0
467.5,497.0,0.0
468.5,502.0,0.0
469.5,494.0,0.0
470.5,504.0,0.0
471.5,471.0,0.0
472.5,456.0,0.0
473.5,414.0,0.0
474.5,366.0,0.0
475.5,460.0,0.0
476.5,422.0,0.0
477.5,424.0,0.0
478.5,405.0,0.0
479.5,375.0,0.0
480.5,341.0,1.0
481.5,329.0,0.0
482.5,349.0,0.0
483.5,325.0,0.0
484.5,310.0,0.0
485.5,335.0,0.0
486.5,337.0,1.0
487.5,330.0,0.0
488.5,311.0,0.0
489.5,294.0,0.0
490.5,288.0,0.0
491.5,262.0,0.0
492.5,264.0,0.0
493.5,267.0,0.0
494.5,235.0,0.0
495.5,237.0,0.0
496.5,216.0,0.0
497.5,234.0,0.0
498.5,213.0,0.0
499.5,215.0,1.0
