bins,True_ET,Tight_Final_ET
0.5,10.0,195.0
1.5,37.0,521.0
2.5,44.0,774.0
3.5,57.0,1098.0
4.5,81.0,1296.0
5.5,99.0,1510.0
6.5,129.0,1658.0
7.5,137.0,1904.0
8.5,162.0,2121.0
9.5,195.0,2364.0
10.5,203.0,2542.0
11.5,225.0,2773.0
12.5,264.0,3050.0
13.5,323.0,3124.0
14.5,317.0,3410.0
15.5,354.0,3637.0
16.5,373.0,3899.0
17.5,438.0,4098.0
18.5,427.0,4527.0
19.5,484.0,4618.0
20.5,516.0,4930.0
21.5,569.0,5379.0
22.5,571.0,5666.0
23.5,712.0,6110.0
24.5,702.0,6308.0
25.5,733.0,6824.0
26.5,843.0,7253.0
27.5,855.0,7831.0
28.5,908.0,8372.0
29.5,991.0,8794.0
30.5,1101.0,9550.0
31.5,1126.0,10054.0
32.5,1242.0,10732.0
33.5,1342.0,11404.0
34.5,1404.0,12295.0
35.5,1507.0,13114.0
36.5,1722.0,13816.0
37.5,1846.0,15154.0
38.5,1939.0,16139.0
39.5,2066.0,17192.0
40.5,2145.0,17934.0
41.5,2498.0,19369.0
42.5,2452.0,20383.0
43.5,2778.0,22227.0
44.5,2915.0,23277.0
45.5,3067.0,24984.0
46.5,3310.0,26514.0
47.5,3534.0,28389.0
48.5,3937.0,30600.0
49.5,4249.0,32212.0
50.5,4511.0,34119.0
51.5,4770.0,36680.0
52.5,5242.0,38734.0
53.5,5506.0,41794.0
54.5,6029.0,43991.0
55.5,6284.0,46452.0
56.5,6939.0,49595.0
57.5,7280.0,52568.0
58.5,7820.0,56002.0
59.5,8560.0,59487.0
60.5,9226.0,63472.0
61.5,9983.0,66942.0
62.5,10732.0,70197.0
63.5,11467.0,75175.0
64.5,12448.0,79160.0
65.5,13517.0,83432.0
66.5,14479.0,88126.0
67.5,15496.0,93118.0
68.5,16986.0,98307.0
69.5,18251.0,103215.0
70.5,19446.0,109352.0
71.5,21101.0,114686.0
72.5,22847.0,120365.0
73.5,24757.0,126322.0
74.5,26793.0,133040.0
75.5,29017.0,139511.0
76.5,31433.0,146730.0
77.5,33803.0,152507.0
78.5,36975.0,160164.0
79.5,40222.0,167374.0
80.5,43374.0,174619.0
81.5,47595.0,181552.0
82.5,51474.0,189642.0
83.5,56290.0,196690.0
84.5,62247.0,205167.0
85.5,67986.0,212077.0
86.5,73923.0,220328.0
87.5,81175.0,227605.0
88.5,89347.0,235781.0
89.5,99037.0,244622.0
90.5,108626.0,251917.0
91.5,121272.0,260513.0
92.5,133637.0,267792.0
93.5,148991.0,274182.0
94.5,165885.0,282185.0
95.5,186729.0,289917.0
96.5,210560.0,296196.0
97.5,240476.0,304190.0
98.5,278068.0,311172.0
99.5,336612.0,316204.0
100.5,641034.0,323506.0
101.5,668872.0,328435.0
102.5,678476.0,333999.0
103.5,681082.0,339548.0
104.5,677657.0,343679.0
105.5,674474.0,348823.0
106.5,669108.0,353020.0
