bins,True_ET,Tight_Final_ET
0.5,8640.0,10687.0
1.5,25677.0,30774.0
2.5,42114.0,50073.0
3.5,58780.0,68399.0
4.5,75744.0,85417.0
5.5,91962.0,100917.0
6.5,106624.0,114479.0
7.5,121942.0,127038.0
8.5,136308.0,137279.0
9.5,150993.0,147711.0
10.5,163921.0,155904.0
11.5,177720.0,165079.0
12.5,189711.0,174443.0
13.5,202426.0,182528.0
14.5,213941.0,190095.0
15.5,224357.0,197831.0
16.5,235334.0,205435.0
17.5,245860.0,212696.0
18.5,255004.0,220671.0
19.5,262719.0,227885.0
20.5,271860.0,235120.0
21.5,279337.0,242383.0
22.5,286324.0,248286.0
23.5,293569.0,254090.0
24.5,299404.0,260470.0
25.5,305595.0,265879.0
26.5,310912.0,270608.0
27.5,314059.0,275812.0
28.5,318789.0,280794.0
29.5,322487.0,283257.0
30.5,325341.0,287221.0
31.5,327722.0,290235.0
32.5,329774.0,293146.0
33.5,331499.0,294915.0
34.5,332264.0,297033.0
35.5,332411.0,298258.0
36.5,332206.0,300179.0
37.5,330382.0,300420.0
38.5,330350.0,300184.0
39.5,330378.0,300189.0
40.5,329541.0,299738.0
41.5,326935.0,300623.0
42.5,323528.0,298948.0
43.5,320407.0,296883.0
44.5,316973.0,296007.0
45.5,315244.0,293820.0
46.5,311212.0,292193.0
47.5,307929.0,289475.0
48.5,303593.0,287190.0
49.5,299147.0,283510.0
50.5,295394.0,280574.0
51.5,290133.0,277474.0
52.5,285456.0,274987.0
53.5,279672.0,270237.0
54.5,275995.0,267139.0
55.5,269581.0,264178.0
56.5,265021.0,260882.0
57.5,259309.0,256067.0
58.5,254764.0,251969.0
59.5,248960.0,248098.0
60.5,242483.0,244237.0
61.5,237848.0,240146.0
62.5,232183.0,235381.0
63.5,226255.0,231795.0
64.5,220167.0,226884.0
65.5,215060.0,223304.0
66.5,209879.0,217909.0
67.5,204262.0,213296.0
68.5,198174.0,208449.0
69.5,192618.0,204947.0
70.5,186470.0,199709.0
71.5,182566.0,196457.0
72.5,176042.0,191070.0
73.5,170736.0,186517.0
74.5,166207.0,183232.0
75.5,161481.0,178247.0
76.5,156093.0,174745.0
77.5,151595.0,169436.0
78.5,146811.0,165093.0
79.5,143015.0,161205.0
80.5,138328.0,157068.0
81.5,133828.0,153402.0
82.5,129766.0,149772.0
83.5,125892.0,145643.0
84.5,122668.0,142256.0
85.5,118044.0,138203.0
86.5,115005.0,134908.0
87.5,111165.0,130669.0
88.5,108192.0,128035.0
