bins,True_ET,Tight_Final_ET
0.5,0.0,0.0
1.5,0.0,1.0
2.5,0.0,3.0
3.5,0.0,1.0
4.5,0.0,1.0
5.5,0.0,3.0
6.5,0.0,3.0
7.5,0.0,2.0
8.5,0.0,2.0
9.5,0.0,4.0
10.5,0.0,6.0
11.5,0.0,1.0
12.5,0.0,4.0
13.5,0.0,0.0
14.5,0.0,4.0
15.5,0.0,2.0
16.5,0.0,3.0
17.5,2.0,5.0
18.5,1.0,2.0
19.5,1.0,6.0
20.5,0.0,8.0
21.5,0.0,3.0
22.5,3.0,3.0
23.5,0.0,4.0
24.5,2.0,7.0
25.5,1.0,6.0
26.5,0.0,4.0
27.5,0.0,4.0
28.5,1.0,2.0
29.5,1.0,3.0
30.5,0.0,9.0
31.5,2.0,5.0
32.5,1.0,7.0
33.5,2.0,10.0
34.5,0.0,8.0
35.5,0.0,13.0
36.5,1.0,10.0
37.5,4.0,13.0
38.5,1.0,10.0
39.5,1.0,7.0
40.5,5.0,9.0
41.5,1.0,5.0
42.5,2.0,5.0
43.5,0.0,6.0
44.5,1.0,8.0
45.5,0.0,6.0
46.5,0.0,14.0
47.5,0.0,13.0
48.5,0.0,9.0
49.5,1.0,8.0
50.5,5.0,15.0
51.5,4.0,12.0
52.5,3.0,15.0
53.5,2.0,5.0
54.5,3.0,7.0
55.5,5.0,11.0
56.5,2.0,7.0
57.5,4.0,19.0
58.5,2.0,11.0
59.5,2.0,13.0
60.5,6.0,14.0
61.5,1.0,10.0
62.5,4.0,16.0
63.5,4.0,13.0
64.5,4.0,10.0
65.5,2.0,17.0
66.5,2.0,14.0
67.5,4.0,11.0
68.5,2.0,13.0
69.5,2.0,14.0
70.5,5.0,17.0
71.5,3.0,18.0
72.5,0.0,16.0
73.5,6.0,16.0
74.5,3.0,15.0
75.5,3.0,22.0
76.5,4.0,12.0
77.5,5.0,10.0
78.5,1.0,14.0
79.5,6.0,19.0
80.5,1.0,12.0
81.5,5.0,21.0
82.5,7.0,18.0
83.5,3.0,21.0
84.5,3.0,15.0
85.5,4.0,17.0
86.5,2.0,20.0
87.5,2.0,12.0
88.5,4.0,22.0
89.5,5.0,18.0
90.5,5.0,17.0
91.5,1.0,15.0
92.5,3.0,18.0
93.5,2.0,17.0
94.5,5.0,18.0
95.5,7.0,21.0
96.5,8.0,14.0
97.5,2.0,19.0
98.5,3.0,23.0
99.5,5.0,22.0
100.5,6.0,32.0
101.5,2.0,24.0
102.5,6.0,24.0
103.5,7.0,25.0
104.5,4.0,21.0
105.5,7.0,26.0
106.5,4.0,20.0
107.5,6.0,26.0
108.5,3.0,26.0
109.5,0.0,25.0
110.5,8.0,23.0
111.5,2.0,25.0
112.5,7.0,20.0
113.5,6.0,30.0
114.5,7.0,42.0
115.5,9.0,31.0
116.5,10.0,34.0
117.5,5.0,29.0
118.5,3.0,29.0
119.5,7.0,27.0
120.5,5.0,34.0
121.5,9.0,27.0
122.5,9.0,35.0
123.5,5.0,31.0
124.5,5.0,30.0
125.5,4.0,33.0
126.5,11.0,28.0
127.5,8.0,33.0
128.5,10.0,37.0
129.5,10.0,35.0
130.5,11.0,25.0
131.5,9.0,41.0
132.5,6.0,50.0
133.5,8.0,30.0
134.5,14.0,39.0
135.5,10.0,35.0
136.5,12.0,37.0
137.5,14.0,36.0
138.5,12.0,42.0
139.5,12.0,29.0
140.5,10.0,43.0
141.5,9.0,47.0
142.5,14.0,45.0
143.5,14.0,53.0
144.5,15.0,36.0
145.5,12.0,45.0
146.5,14.0,45.0
147.5,9.0,48.0
148.5,14.0,53.0
149.5,13.0,50.0
150.5,10.0,62.0
151.5,15.0,39.0
152.5,14.0,36.0
153.5,9.0,52.0
154.5,17.0,55.0
155.5,18.0,48.0
156.5,21.0,65.0
157.5,14.0,44.0
158.5,24.0,54.0
159.5,13.0,62.0
160.5,17.0,54.0
161.5,22.0,62.0
162.5,15.0,68.0
163.5,14.0,59.0
164.5,20.0,42.0
165.5,29.0,63.0
166.5,21.0,65.0
167.5,20.0,55.0
168.5,16.0,67.0
169.5,24.0,63.0
170.5,24.0,57.0
171.5,23.0,60.0
172.5,23.0,61.0
173.5,24.0,68.0
174.5,25.0,58.0
175.5,28.0,68.0
176.5,28.0,62.0
177.5,17.0,62.0
178.5,37.0,74.0
179.5,27.0,79.0
180.5,24.0,71.0
181.5,39.0,67.0
182.5,32.0,83.0
183.5,17.0,110.0
184.5,36.0,84.0
185.5,40.0,82.0
186.5,44.0,82.0
187.5,36.0,79.0
188.5,44.0,105.0
189.5,32.0,97.0
190.5,42.0,79.0
191.5,30.0,100.0
192.5,35.0,90.0
193.5,39.0,104.0
194.5,34.0,99.0
195.5,34.0,105.0
196.5,45.0,125.0
197.5,40.0,99.0
198.5,43.0,101.0
199.5,45.0,109.0
200.5,44.0,113.0
201.5,41.0,125.0
202.5,50.0,117.0
203.5,43.0,120.0
204.5,54.0,109.0
205.5,57.0,123.0
206.5,48.0,123.0
207.5,58.0,133.0
208.5,52.0,127.0
209.5,44.0,136.0
210.5,54.0,138.0
211.5,54.0,129.0
212.5,54.0,121.0
213.5,63.0,118.0
214.5,58.0,157.0
215.5,68.0,146.0
216.5,64.0,149.0
217.5,55.0,154.0
218.5,61.0,137.0
219.5,73.0,131.0
220.5,74.0,164.0
221.5,74.0,157.0
222.5,68.0,160.0
223.5,67.0,164.0
224.5,74.0,167.0
225.5,71.0,153.0
226.5,78.0,177.0
227.5,89.0,190.0
228.5,70.0,188.0
229.5,85.0,185.0
230.5,101.0,191.0
231.5,76.0,192.0
232.5,94.0,187.0
233.5,85.0,212.0
234.5,92.0,211.0
235.5,86.0,243.0
236.5,105.0,203.0
237.5,83.0,208.0
238.5,114.0,213.0
